topology,strategy,fraction,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,random,0.05,70,1000,0.15,0.05,6,10.0,671,18096.5,0.934,131
ER,random,0.05,71,1000,0.15,0.05,6,11.0,674,18526.5,0.938,169
ER,random,0.05,72,1000,0.15,0.05,7,11.0,707,18836.5,0.942,135
ER,random,0.05,73,1000,0.15,0.05,6,11.0,666,18517.5,0.938,261
ER,random,0.05,74,1000,0.15,0.05,6,11.0,666,18795.5,0.938,139
ER,random,0.05,75,1000,0.15,0.05,7,12.0,695,18169.5,0.939,124
ER,random,0.05,76,1000,0.15,0.05,6,10.0,675,19327.5,0.936,154
ER,random,0.05,77,1000,0.15,0.05,7,12.0,690,20298.5,0.936,207
ER,random,0.05,78,1000,0.15,0.05,7,11.0,667,17910.5,0.93,177
ER,random,0.05,79,1000,0.15,0.05,6,10.0,691,19183.5,0.94,173
ER,random,0.05,80,1000,0.15,0.05,6,11.0,698,20936.5,0.941,153
ER,random,0.05,81,1000,0.15,0.05,7,12.0,661,19264.5,0.94,166
ER,random,0.05,82,1000,0.15,0.05,6,10.0,692,19042.5,0.938,144
ER,random,0.05,83,1000,0.15,0.05,9,14.0,669,17952.5,0.929,140
ER,random,0.05,84,1000,0.15,0.05,6,11.0,680,19216.5,0.941,154
ER,random,0.05,85,1000,0.15,0.05,10,15.0,669,18907.5,0.939,167
ER,random,0.05,86,1000,0.15,0.05,6,11.0,684,19635.5,0.938,162
ER,random,0.05,87,1000,0.15,0.05,6,11.0,663,18281.5,0.94,164
ER,random,0.05,88,1000,0.15,0.05,6,11.0,677,19612.5,0.945,137
ER,random,0.05,89,1000,0.15,0.05,6,11.0,658,18662.5,0.937,159
ER,random,0.05,90,1000,0.15,0.05,7,12.0,691,19559.5,0.936,138
ER,random,0.05,91,1000,0.15,0.05,7,12.0,667,17964.5,0.937,158
ER,random,0.05,92,1000,0.15,0.05,6,10.0,696,17847.5,0.943,203
ER,random,0.05,93,1000,0.15,0.05,6,11.0,685,19483.5,0.937,170
ER,random,0.05,94,1000,0.15,0.05,6,10.0,664,18975.5,0.939,215
ER,random,0.05,95,1000,0.15,0.05,6,10.0,686,18557.5,0.94,170
ER,random,0.05,96,1000,0.15,0.05,6,10.0,668,18742.5,0.932,181
ER,random,0.05,97,1000,0.15,0.05,7,11.0,677,18882.5,0.938,147
ER,random,0.05,98,1000,0.15,0.05,6,11.0,703,19619.5,0.942,141
ER,random,0.05,99,1000,0.15,0.05,5,10.0,670,18415.5,0.934,139
ER,random,0.1,0,1000,0.15,0.05,6,11.0,639,17597.5,0.883,154
