topology,trial,beta,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
WS,14,0.05,34.0,,268,0.961,19541.5,True,False,215
WS,14,0.15,8.0,17.0,619,1.0,19468.5,True,True,156
WS,14,0.25,5.0,11.0,730,1.0,19758.5,True,True,132
WS,15,0.05,31.0,,255,0.953,18755.5,True,False,188
WS,15,0.15,9.0,18.0,658,1.0,20495.5,True,True,171
WS,15,0.25,5.0,11.0,742,1.0,20226.5,True,True,142
WS,16,0.05,23.0,,359,0.987,19475.5,True,False,197
WS,16,0.15,8.0,15.0,646,1.0,18414.5,True,True,206
WS,16,0.25,6.0,12.0,703,1.0,18417.5,True,True,121
WS,17,0.05,57.0,,249,0.966,19185.5,True,False,311
WS,17,0.15,8.0,17.0,623,0.999,19415.5,True,True,158
WS,17,0.25,6.0,11.0,706,1.0,19655.5,True,True,191
WS,18,0.05,30.0,,270,0.965,19363.5,True,False,253
WS,18,0.15,9.0,18.0,588,1.0,20871.5,True,True,209
WS,18,0.25,5.0,11.0,740,1.0,21027.5,True,True,172
WS,19,0.05,48.0,,304,0.968,19894.5,True,False,217
WS,19,0.15,9.0,19.0,632,1.0,19789.5,True,True,191
WS,19,0.25,7.0,12.0,725,1.0,19352.5,True,True,147
WS,20,0.05,27.0,,314,0.969,19761.5,True,False,219
WS,20,0.15,8.0,16.0,687,1.0,20556.5,True,True,161
WS,20,0.25,5.0,11.0,748,1.0,20240.5,True,True,219
WS,21,0.05,39.0,,299,0.963,19452.5,True,False,232
WS,21,0.15,9.0,17.0,672,1.0,21083.5,True,True,175
WS,21,0.25,7.0,12.0,739,1.0,20644.5,True,True,165
WS,22,0.05,61.0,,319,0.957,19703.5,True,False,247
WS,22,0.15,7.0,15.0,656,0.999,20846.5,True,True,163
WS,22,0.25,5.0,10.0,756,1.0,20578.5,True,True,156
WS,23,0.05,28.0,,254,0.962,18594.5,True,False,207
WS,23,0.15,8.0,16.0,634,1.0,20352.5,True,True,145
WS,23,0.25,5.0,11.0,772,1.0,20690.5,True,True,139
WS,24,0.05,27.0,,288,0.969,18746.5,True,False,246
WS,24,0.15,9.0,18.0,633,1.0,19889.5,True,True,148
WS,24,0.25,6.0,12.0,694,1.0,19373.5,True,True,169
WS,25,0.05,44.0,,299,0.921,18179.5,True,False,223
WS,25,0.15,10.0,19.0,646,1.0,19846.5,True,True,190
WS,25,0.25,6.0,11.0,730,1.0,19383.5,True,True,156
WS,26,0.05,43.0,,316,0.953,18919.5,True,False,221
WS,26,0.15,9.0,17.0,663,1.0,19597.5,True,True,156
WS,26,0.25,5.0,10.0,738,1.0,19536.5,True,True,191
WS,27,0.05,24.0,,272,0.943,18513.5,True,False,197
WS,27,0.15,9.0,18.0,638,1.0,19069.5,True,True,136
WS,27,0.25,5.0,11.0,714,1.0,19032.5,True,True,140
WS,28,0.05,27.0,,330,0.98,20207.5,True,False,204
WS,28,0.15,10.0,18.0,636,1.0,19873.5,True,True,187
WS,28,0.25,6.0,11.0,706,1.0,19464.5,True,True,125
WS,29,0.05,32.0,,326,0.946,19366.5,True,False,186
WS,29,0.15,10.0,19.0,628,1.0,19685.5,True,True,209
WS,29,0.25,7.0,11.0,751,1.0,19779.5,True,True,154
WS,30,0.05,35.0,,348,0.983,19226.5,True,False,191
WS,30,0.15,10.0,22.0,620,0.999,20196.5,True,True,146
WS,30,0.25,6.0,11.0,747,1.0,19951.5,True,True,183
WS,31,0.05,28.0,,302,0.944,18570.5,True,False,226
WS,31,0.15,9.0,17.0,614,1.0,19284.5,True,True,160
WS,31,0.25,6.0,12.0,739,1.0,19268.5,True,True,140
WS,32,0.05,35.0,,326,0.958,19106.5,True,False,209
WS,32,0.15,9.0,17.0,646,1.0,20408.5,True,True,161
WS,32,0.25,6.0,11.0,757,1.0,20401.5,True,True,188
WS,33,0.05,47.0,,266,0.946,18967.5,True,False,267
WS,33,0.15,10.0,18.0,631,1.0,20660.5,True,True,191
WS,33,0.25,6.0,12.0,731,1.0,19940.5,True,True,145
WS,34,0.05,31.0,,270,0.954,19014.5,True,False,206
WS,34,0.15,8.0,17.0,628,1.0,20634.5,True,True,140
WS,34,0.25,6.0,12.0,704,1.0,20224.5,True,True,173
WS,35,0.05,35.0,,272,0.967,18983.5,True,False,217
WS,35,0.15,8.0,16.0,651,0.999,19727.5,True,True,158
WS,35,0.25,5.0,10.0,770,1.0,19326.5,True,True,173
WS,36,0.05,25.0,,314,0.962,19142.5,True,False,179
WS,36,0.15,8.0,17.0,667,1.0,20343.5,True,True,114
WS,36,0.25,6.0,11.0,745,1.0,20565.5,True,True,190
WS,37,0.05,35.0,,318,0.972,19819.5,True,False,194
WS,37,0.15,9.0,18.0,639,1.0,20012.5,True,True,173
WS,37,0.25,6.0,11.0,733,1.0,19757.5,True,True,150
WS,38,0.05,29.0,,325,0.95,18758.5,True,False,188
WS,38,0.15,9.0,19.0,660,0.999,20218.5,True,True,136
